Reference, Value, Footprint, Datasheet
"C1","10µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"J1","DC Power +5V","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal","~"
"H1","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H3","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H2","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"H4","MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"U13","74LS138","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS138"
"U12","74F377","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS377"
"J2","D Register LED Connector","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"C13","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C12","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U1","74LS138","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS138"
"C2","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C14","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C15","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C16","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C17","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U6","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U11","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U10","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U8","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U7","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"C7","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C8","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J11","XY LED Connector","Connector_PinSocket_2.54mm:PinSocket_1x17_P2.54mm_Vertical","~"
"U9","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"U18","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U21","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U20","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"U19","74F161","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS161"
"C18","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C19","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C20","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C21","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J3","Program Counter LED Connector","Connector_PinSocket_2.54mm:PinSocket_1x17_P2.54mm_Vertical","~"
"C22","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C23","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U22","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"U23","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"J13","PC/IF Connector [0..7]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J14","PC/IF Connector [8..15]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J15","IROM Connector [0..7]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J16","IROM Connector [8..15]","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"U26","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U27","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U28","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U29","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"C26","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C27","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C28","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C29","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C30","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C31","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C32","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C33","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U33","IDT71256SA12TPG","Package_DIP:DIP-28_W7.62mm",""
"U35","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"U36","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"U34","IDT71256SA12TPG","Package_DIP:DIP-28_W7.62mm",""
"U31","74LS04","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS04"
"C34","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C35","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U30","74LS08","Package_DIP:DIP-14_W7.62mm","http://www.ti.com/lit/gpn/sn74LS08"
"U37","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U39","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"U42","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"U38","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U40","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"U41","74F157","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS157"
"C41","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C40","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C39","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C38","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C37","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C42","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J26","IR LED Connector [0..7]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J4","IR LED Connector [8..15]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"U43","GLS29EE010","Package_DIP:DIP-32_W15.24mm_Socket",""
"U44","GLS29EE010","Package_DIP:DIP-32_W15.24mm_Socket",""
"U47","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"U45","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"U46","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"C47","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C46","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C45","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C44","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C43","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U3","GLS29EE010","Package_DIP:DIP-32_W15.24mm_Socket",""
"U5","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"C4","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C3","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U2","GLS29EE010","Package_DIP:DIP-32_W15.24mm_Socket",""
"U4","74F574","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS574"
"C6","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"C5","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"U48","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245"
"C48","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"J5","C Register LED Connector","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J6","Control Word LED Connector [24..31]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J23","Control Word LED Connector [16..23]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J24","Control Word LED Connector [8..15]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J25","Control Word LED Connector [0..7]","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"U53","LM393","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf"
"R21","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U52","LM393","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf"
"R18","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R19","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R15","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U50","LM393","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf"
"R12","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R13","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U49","LM393","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/lm393-n.pdf"
"R6","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R7","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","R_POT","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","~"
"U51","GLS29EE010","Package_DIP:DIP-32_W15.24mm_Socket",""
"R2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R8","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R11","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
